Issue Key,Summary,Description,Assignee,Reporter,Issue Type,Priority,Status,Component,Created,Due Date,Days to Complete,Created_Month,Created_Day_of_Week,Due_Month,summary_cleaned,description_cleaned,combined_text,summary_lemmatized,description_lemmatized,combined_lemmatized,summary_word_count,description_word_count,combined_word_count
SWP-11,Video Streaming Buffering Issue,Videos buffer excessively on low-bandwidth connections despite CDN integration.,Alice,Heidi,Bug,High,Open,Video Streaming,23-06-2025,06-07-2025,13,6,0,7,video streaming buffering issue,videos buffer excessively on lowbandwidth connections despite cdn integration,video streaming buffering issue videos buffer excessively on lowbandwidth connections despite cdn integration,video stream buffering,video buffer excessively lowbandwidth connection despite cdn integration,video stream buffering video buffer excessively lowbandwidth connection despite cdn integration,4,9,13
SWP-12,Social Media Post Scheduling Error,Scheduled posts fail to publish on Twitter due to API token expiration.,Eve,Ivan,Bug,Medium,In Progress,Social Media,20-05-2025,31-05-2025,11,5,1,5,social media post scheduling error,scheduled posts fail to publish on twitter due to api token expiration,social media post scheduling error scheduled posts fail to publish on twitter due to api token expiration,social medium post error,post fail publish twitter token expiration,social medium post error post fail publish twitter token expiration,5,12,17
SWP-13,Document Access Permission Bug,Users with read-only permissions can edit documents due to incorrect access control checks.,Diana,Grace,Bug,High,Open,Document Management,25-05-2025,08-06-2025,14,5,6,6,document access permission bug,users with readonly permissions can edit documents due to incorrect access control checks,document access permission bug users with readonly permissions can edit documents due to incorrect access control checks,access permission,readonly permission edit incorrect access control,access permission readonly permission edit incorrect access control,4,13,17
SWP-14,Appointment Scheduling Conflict,Online booking platform allows double-booking due to calendar sync failures.,Bob,Heidi,Bug,Medium,In Progress,Scheduling,19-05-2025,27-05-2025,8,5,0,5,appointment scheduling conflict,online booking platform allows doublebooking due to calendar sync failures,appointment scheduling conflict online booking platform allows doublebooking due to calendar sync failures,appointment conflict,online booking allow doublebooking calendar sync failure,appointment conflict online booking allow doublebooking calendar sync failure,3,10,13
SWP-15,Chat Message Encryption Failure,"Messages in group chats are not encrypted, exposing sensitive user data.",Charlie,Heidi,Bug,High,Open,Chat System,13-05-2025,16-05-2025,3,5,1,5,chat message encryption failure,messages in group chats are not encrypted exposing sensitive user data,chat message encryption failure messages in group chats are not encrypted exposing sensitive user data,chat encryption failure,group chat encrypt expose sensitive,chat encryption failure group chat encrypt expose sensitive,4,11,15
SWP-16,Performance Monitoring Tool,"Build application performance monitoring with error tracking, response time analysis, and automated alerting system.",Eve,Heidi,Task,High,In Progress,Monitoring,06-07-2025,11-07-2025,5,7,6,7,performance monitoring tool,build application performance monitoring with error tracking response time analysis and automated alerting system,performance monitoring tool build application performance monitoring with error tracking response time analysis and automated alerting system,performance monitoring,performance monitoring error track response analysis automate alert,performance monitoring performance monitoring error track response analysis automate alert,3,14,17
SWP-17,Code Review Platform,"Develop collaborative code review system with diff visualization, comment threading, approval workflows, and Git integration.",Frank,Heidi,Story,Medium,Done,Code Review,22-05-2025,05-06-2025,14,5,3,6,code review platform,develop collaborative code review system with diff visualization comment threading approval workflows and git integration,code review platform develop collaborative code review system with diff visualization comment threading approval workflows and git integration,,collaborative diff visualization thread integration, collaborative diff visualization thread integration,3,15,18
SWP-18,Backup Restoration Failure,"Incremental backups fail to restore correctly, causing data loss during recovery.",Charlie,Grace,Bug,High,In Progress,Backup,07-07-2025,19-07-2025,12,7,0,7,backup restoration failure,incremental backups fail to restore correctly causing data loss during recovery,backup restoration failure incremental backups fail to restore correctly causing data loss during recovery,backup restoration failure,incremental backup fail restore correctly cause loss recovery,backup restoration failure incremental backup fail restore correctly cause loss recovery,3,11,14
SWP-19,Search Functionality Crash,Website search crashes when Elasticsearch query exceeds memory limits.,Charlie,Grace,Bug,Medium,Open,Search,25-06-2025,06-07-2025,11,6,2,7,search functionality crash,website search crashes when elasticsearch query exceeds memory limits,search functionality crash website search crashes when elasticsearch query exceeds memory limits,search functionality crash,search crash elasticsearch query exceeds memory limit,search functionality crash search crash elasticsearch query exceeds memory limit,3,9,12
SWP-20,SSO Login Timeout,Enterprise SSO system times out during SAML authentication with Azure AD.,Eve,Judy,Bug,High,In Progress,Authentication,24-06-2025,30-06-2025,6,6,1,6,sso login timeout,enterprise sso system times out during saml authentication with azure ad,sso login timeout enterprise sso system times out during saml authentication with azure ad,sso login timeout,enterprise sso saml authentication ad,sso login timeout enterprise sso saml authentication ad,3,11,14
SWP-21,Microservices Deployment Failure,Microservices fail to deploy due to service discovery misconfiguration.,Frank,Grace,Bug,High,Open,Microservices,05-06-2025,18-06-2025,13,6,3,6,microservices deployment failure,microservices fail to deploy due to service discovery misconfiguration,microservices deployment failure microservices fail to deploy due to service discovery misconfiguration,microservices deployment failure,microservices fail deploy discovery misconfiguration,microservices deployment failure microservices fail deploy discovery misconfiguration,3,9,12
SWP-22,Continuous Integration Pipeline,"Set up CI/CD pipeline with automated testing, code quality checks, deployment automation, and rollback capabilities.",Bob,Judy,Task,High,Done,CI/CD,05-07-2025,10-07-2025,5,7,5,7,continuous integration pipeline,set up cicd pipeline with automated testing code quality checks deployment automation and rollback capabilities,continuous integration pipeline set up cicd pipeline with automated testing code quality checks deployment automation and rollback capabilities,continuous integration,set cicd automate deployment automation rollback capability,continuous integration set cicd automate deployment automation rollback capability,3,15,18
SWP-23,Machine Learning Model,"Develop predictive analytics model for customer churn with data preprocessing, model training, and production deployment.",Alice,Grace,Task,High,In Progress,Machine Learning,07-07-2025,22-07-2025,15,7,0,7,machine learning model,develop predictive analytics model for customer churn with data preprocessing model training and production deployment,machine learning model develop predictive analytics model for customer churn with data preprocessing model training and production deployment,machine learn model,predictive analytics model churn preprocessing model training production deployment,machine learn model predictive analytics model churn preprocessing model training production deployment,3,15,18
SWP-24,IoT Device Firmware Update Error,"IoT devices fail to apply firmware updates, causing connectivity issues.",Alice,Heidi,Bug,High,In Progress,IoT,19-06-2025,28-06-2025,9,6,3,6,iot device firmware update error,iot devices fail to apply firmware updates causing connectivity issues,iot device firmware update error iot devices fail to apply firmware updates causing connectivity issues,iot device firmware error,iot device fail apply firmware cause connectivity,iot device firmware error iot device fail apply firmware cause connectivity,5,10,15
SWP-25,Blockchain Transaction Delay,Blockchain supply chain transactions are delayed due to smart contract gas limit errors.,Eve,Judy,Bug,High,Open,Blockchain,31-05-2025,05-06-2025,5,5,5,6,blockchain transaction delay,blockchain supply chain transactions are delayed due to smart contract gas limit errors,blockchain transaction delay blockchain supply chain transactions are delayed due to smart contract gas limit errors,blockchain transaction,blockchain supply chain transaction smart contract gas limit error,blockchain transaction blockchain supply chain transaction smart contract gas limit error,3,13,16
SWP-26,Cloud Migration Data Loss,Data is lost during AWS migration due to incomplete containerization.,Eve,Judy,Bug,High,Blocked,Cloud Infrastructure,08-06-2025,19-06-2025,11,6,6,6,cloud migration data loss,data is lost during aws migration due to incomplete containerization,cloud migration data loss data is lost during aws migration due to incomplete containerization,cloud migration loss,lose migration incomplete containerization,cloud migration loss lose migration incomplete containerization,4,10,14
SWP-27,Security Audit False Positives,Security scanning tool reports false positives for non-existent vulnerabilities.,Bob,Judy,Bug,Medium,In Progress,Security,21-06-2025,25-06-2025,4,6,5,6,security audit false positives,security scanning tool reports false positives for nonexistent vulnerabilities,security audit false positives security scanning tool reports false positives for nonexistent vulnerabilities,security audit false positive,security scan false positive nonexistent vulnerability,security audit false positive security scan false positive nonexistent vulnerability,4,9,13
SWP-28,Employee Onboarding Portal,"Create digital onboarding platform with document collection, training modules, and progress tracking for HR department.",Eve,Ivan,Story,Medium,Done,HR Management,02-07-2025,09-07-2025,7,7,2,7,employee onboarding portal,create digital onboarding platform with document collection training modules and progress tracking for hr department,employee onboarding portal create digital onboarding platform with document collection training modules and progress tracking for hr department,employee onboarding portal,digital onboarding collection training progress track hr,employee onboarding portal digital onboarding collection training progress track hr,3,15,18
SWP-29,Geolocation Tracking Inaccuracy,GPS tracking shows incorrect user locations due to geofencing calculation errors.,Diana,Ivan,Bug,Medium,Open,Geolocation,01-07-2025,16-07-2025,15,7,1,7,geolocation tracking inaccuracy,gps tracking shows incorrect user locations due to geofencing calculation errors,geolocation tracking inaccuracy gps tracking shows incorrect user locations due to geofencing calculation errors,geolocation track inaccuracy,gps tracking show incorrect location geofencing calculation error,geolocation track inaccuracy gps tracking show incorrect location geofencing calculation error,3,11,14
SWP-30,File Synchronization System,"Develop cross-platform file sync service with conflict resolution, offline access, and sharing capabilities.",Charlie,Heidi,Story,Medium,Done,File Sync,25-06-2025,03-07-2025,8,6,2,7,file synchronization system,develop crossplatform file sync service with conflict resolution offline access and sharing capabilities,file synchronization system develop crossplatform file sync service with conflict resolution offline access and sharing capabilities,synchronization,crossplatform sync conflict resolution offline access share capability,synchronization crossplatform sync conflict resolution offline access share capability,3,13,16
SWP-31,Order Processing Payment Failure,E-commerce orders fail due to payment verification errors with PayPal.,Charlie,Grace,Bug,High,In Progress,Order Management,21-05-2025,03-06-2025,13,5,2,6,order processing payment failure,ecommerce orders fail due to payment verification errors with paypal,order processing payment failure ecommerce orders fail due to payment verification errors with paypal,order payment failure,ecommerce order fail payment error paypal,order payment failure ecommerce order fail payment error paypal,4,10,14
SWP-32,User Interface Rendering Issue,Application UI fails to render correctly on mobile devices due to CSS conflicts.,Charlie,Heidi,Bug,Medium,In Progress,User Interface,21-05-2025,04-06-2025,14,5,2,6,user interface rendering issue,application ui fails to render correctly on mobile devices due to css conflicts,user interface rendering issue application ui fails to render correctly on mobile devices due to css conflicts,render,fails render correctly mobile device conflict,render fails render correctly mobile device conflict,4,13,17
SWP-33,Logging and Monitoring,"Implement centralized logging system with log aggregation, search capabilities, and real-time monitoring dashboards.",Alice,Grace,Task,High,Done,Monitoring,29-06-2025,12-07-2025,13,6,6,7,logging and monitoring,implement centralized logging system with log aggregation search capabilities and realtime monitoring dashboards,logging and monitoring implement centralized logging system with log aggregation search capabilities and realtime monitoring dashboards,log monitoring,centralize log log aggregation search capability realtime monitoring dashboard,log monitoring centralize log log aggregation search capability realtime monitoring dashboard,3,13,16
SWP-34,Third-party API Integration,"Integrate multiple external APIs with error handling, rate limiting, data transformation, and caching mechanisms.",Frank,Judy,Task,Medium,Blocked,API,29-06-2025,10-07-2025,11,6,6,7,thirdparty api integration,integrate multiple external apis with error handling rate limiting data transformation and caching mechanisms,thirdparty api integration integrate multiple external apis with error handling rate limiting data transformation and caching mechanisms,thirdparty integration,integrate multiple external error rate limit transformation cache mechanism,thirdparty integration integrate multiple external error rate limit transformation cache mechanism,3,14,17
SWP-35,Automated Testing Framework,"Create comprehensive test automation suite with unit tests, integration tests, and end-to-end testing scenarios.",Eve,Heidi,Task,High,Done,Testing,23-06-2025,02-07-2025,9,6,0,7,automated testing framework,create comprehensive test automation suite with unit tests integration tests and endtoend testing scenarios,automated testing framework create comprehensive test automation suite with unit tests integration tests and endtoend testing scenarios,automate,comprehensive automation suite unit integration endtoend,automate comprehensive automation suite unit integration endtoend,3,14,17
SWP-36,Content Delivery Network,"Deploy CDN infrastructure with edge caching, image optimization, and global content distribution capabilities.",Alice,Ivan,Task,High,Done,CDN,04-06-2025,19-06-2025,15,6,2,6,content delivery network,deploy cdn infrastructure with edge caching image optimization and global content distribution capabilities,content delivery network deploy cdn infrastructure with edge caching image optimization and global content distribution capabilities,content delivery network,deploy cdn infrastructure edge cache image optimization global content distribution capability,content delivery network deploy cdn infrastructure edge cache image optimization global content distribution capability,3,13,16
SWP-37,Feedback Collection System,"Build user feedback platform with surveys, ratings, sentiment analysis, and automated response categorization.",Frank,Ivan,Story,Medium,In Progress,Feedback,24-05-2025,08-06-2025,15,5,5,6,feedback collection system,build user feedback platform with surveys ratings sentiment analysis and automated response categorization,feedback collection system build user feedback platform with surveys ratings sentiment analysis and automated response categorization,collection,survey rating sentiment analysis automate response categorization,collection survey rating sentiment analysis automate response categorization,3,13,16
SWP-38,Notification Management,"Create unified notification system supporting email, SMS, push notifications with user preferences and delivery tracking.",Bob,Heidi,Story,Medium,In Progress,Notifications,26-06-2025,06-07-2025,10,6,3,7,notification management,create unified notification system supporting email sms push notifications with user preferences and delivery tracking,notification management create unified notification system supporting email sms push notifications with user preferences and delivery tracking,,unified support sms push preference delivery tracking, unified support sms push preference delivery tracking,2,15,17
SWP-39,Data Validation Framework,"Implement robust data validation with custom rules, error reporting, and data quality monitoring across applications.",Charlie,Grace,Task,High,Done,Data Quality,03-07-2025,18-07-2025,15,7,3,7,data validation framework,implement robust data validation with custom rules error reporting and data quality monitoring across applications,data validation framework implement robust data validation with custom rules error reporting and data quality monitoring across applications,,robust custom rule error report monitoring across, robust custom rule error report monitoring across,3,15,18
SWP-40,Caching Strategy Implementation,"Deploy multi-level caching strategy with Redis, application-level caching, and cache invalidation mechanisms.",Charlie,Heidi,Task,High,In Progress,Caching,20-06-2025,02-07-2025,12,6,4,7,caching strategy implementation,deploy multilevel caching strategy with redis applicationlevel caching and cache invalidation mechanisms,caching strategy implementation deploy multilevel caching strategy with redis applicationlevel caching and cache invalidation mechanisms,cache strategy,deploy multilevel cache strategy redis applicationlevel cache cache invalidation mechanism,cache strategy deploy multilevel cache strategy redis applicationlevel cache cache invalidation mechanism,3,12,15
SWP-41,Reporting Engine,"Build flexible reporting system with custom report builder, scheduled reports, and multiple export formats.",Alice,Judy,Story,Medium,Done,Reporting,03-06-2025,15-06-2025,12,6,1,6,reporting engine,build flexible reporting system with custom report builder scheduled reports and multiple export formats,reporting engine build flexible reporting system with custom report builder scheduled reports and multiple export formats,report engine,flexible reporting custom builder multiple export format,report engine flexible reporting custom builder multiple export format,2,14,16
SWP-42,Workflow Automation Error,Business process automation fails to assign tasks due to approval chain misconfiguration.,Frank,Heidi,Bug,Medium,Open,Workflow,07-06-2025,15-06-2025,8,6,5,6,workflow automation error,business process automation fails to assign tasks due to approval chain misconfiguration,workflow automation error business process automation fails to assign tasks due to approval chain misconfiguration,automation error,automation fail assign chain misconfiguration,automation error automation fail assign chain misconfiguration,3,12,15
SWP-43,Multi-tenant Data Leak,SaaS multi-tenant system exposes tenant data due to improper data isolation.,Charlie,Ivan,Bug,High,In Progress,Multi-tenancy,08-06-2025,21-06-2025,13,6,6,6,multitenant data leak,saas multitenant system exposes tenant data due to improper data isolation,multitenant data leak saas multitenant system exposes tenant data due to improper data isolation,multitenant leak,saas multitenant expose tenant improper isolation,multitenant leak saas multitenant expose tenant improper isolation,3,11,14
SWP-44,API Documentation Portal,"Build interactive API documentation with code examples, testing interface, and version management features.",Frank,Heidi,Story,Medium,Done,API,15-05-2025,27-05-2025,12,5,3,5,api documentation portal,build interactive api documentation with code examples testing interface and version management features,api documentation portal build interactive api documentation with code examples testing interface and version management features,documentation portal,interactive documentation version,documentation portal interactive documentation version,3,13,16
SWP-45,Event-driven Message Loss,Event sourcing system loses messages due to queue overflow.,Frank,Ivan,Bug,High,Open,Event System,11-05-2025,21-05-2025,10,5,6,5,eventdriven message loss,event sourcing system loses messages due to queue overflow,eventdriven message loss event sourcing system loses messages due to queue overflow,eventdriven loss,event source loses queue overflow,eventdriven loss event source loses queue overflow,3,9,12
SWP-46,Configuration Management,"Create centralized configuration system with environment-specific settings, secret management, and dynamic updates.",Frank,Ivan,Task,High,Done,Configuration,22-06-2025,26-06-2025,4,6,6,6,configuration management,create centralized configuration system with environmentspecific settings secret management and dynamic updates,configuration management create centralized configuration system with environmentspecific settings secret management and dynamic updates,,centralize environmentspecific secret dynamic, centralize environmentspecific secret dynamic,2,12,14
SWP-47,Health Check System,"Develop application health monitoring with service dependency checks, automated recovery, and alerting mechanisms.",Eve,Grace,Task,High,In Progress,Monitoring,05-07-2025,15-07-2025,10,7,5,7,health check system,develop application health monitoring with service dependency checks automated recovery and alerting mechanisms,health check system develop application health monitoring with service dependency checks automated recovery and alerting mechanisms,health,health monitoring dependency automate recovery alerting mechanism,health health monitoring dependency automate recovery alerting mechanism,3,13,16
SWP-48,Audit Trail Implementation,"Build comprehensive audit logging with user action tracking, data change history, and compliance reporting.",Alice,Grace,Task,High,Done,Audit,31-05-2025,15-06-2025,15,5,5,6,audit trail implementation,build comprehensive audit logging with user action tracking data change history and compliance reporting,audit trail implementation build comprehensive audit logging with user action tracking data change history and compliance reporting,audit trail,comprehensive audit log action track history compliance reporting,audit trail comprehensive audit log action track history compliance reporting,3,14,17
SWP-49,Load Testing Framework,"Create performance testing suite with load generation, bottleneck identification, and scalability analysis tools.",Alice,Judy,Task,Medium,In Progress,Testing,27-05-2025,01-06-2025,5,5,1,6,load testing framework,create performance testing suite with load generation bottleneck identification and scalability analysis tools,load testing framework create performance testing suite with load generation bottleneck identification and scalability analysis tools,load,performance suite load generation bottleneck identification scalability analysis,load performance suite load generation bottleneck identification scalability analysis,3,13,16
SWP-50,Feature Flag System,"Implement feature toggles with gradual rollout, A/B testing capabilities, and real-time feature management.",Bob,Judy,Task,Medium,Done,Feature Management,14-06-2025,24-06-2025,10,6,5,6,feature flag system,implement feature toggles with gradual rollout ab testing capabilities and realtime feature management,feature flag system implement feature toggles with gradual rollout ab testing capabilities and realtime feature management,flag,toggle gradual rollout ab capability realtime,flag toggle gradual rollout ab capability realtime,3,13,16
SWP-51,CRM Contact Sync Failure,CRM system fails to sync contacts with external email platforms.,Alice,Ivan,Bug,High,In Progress,CRM,17-06-2025,23-06-2025,6,6,1,6,crm contact sync failure,crm system fails to sync contacts with external email platforms,crm contact sync failure crm system fails to sync contacts with external email platforms,sync failure,fails sync external,sync failure fails sync external,4,10,14
SWP-52,Time Tracking Application,"Develop time tracking tool with project allocation, timesheet management, and productivity analytics.",Bob,Heidi,Story,Medium,Done,Time Tracking,23-06-2025,27-06-2025,4,6,0,6,time tracking application,develop time tracking tool with project allocation timesheet management and productivity analytics,time tracking application develop time tracking tool with project allocation timesheet management and productivity analytics,track,track allocation timesheet productivity analytics,track track allocation timesheet productivity analytics,3,12,15
SWP-53,Knowledge Base System,"Create searchable knowledge base with article management, categorization, and user contribution features.",Eve,Grace,Story,Low,Open,Knowledge Base,26-05-2025,10-06-2025,15,5,0,6,knowledge base system,create searchable knowledge base with article management categorization and user contribution features,knowledge base system create searchable knowledge base with article management categorization and user contribution features,knowledge base,searchable knowledge base article categorization contribution,knowledge base searchable knowledge base article categorization contribution,3,12,15
SWP-54,Bug Tracking System,"Build issue tracking platform with bug reporting, assignment workflows, and resolution tracking capabilities.",Diana,Heidi,Story,Medium,Done,Testing,13-05-2025,23-05-2025,10,5,1,5,bug tracking system,build issue tracking platform with bug reporting assignment workflows and resolution tracking capabilities,bug tracking system build issue tracking platform with bug reporting assignment workflows and resolution tracking capabilities,track,track report assignment resolution track capability,track track report assignment resolution track capability,3,13,16
SWP-55,Asset Tracking Discrepancy,IT asset tracking system shows incorrect software license counts.,Diana,Heidi,Bug,Medium,Open,Asset Management,07-07-2025,17-07-2025,10,7,0,7,asset tracking discrepancy,it asset tracking system shows incorrect software license counts,asset tracking discrepancy it asset tracking system shows incorrect software license counts,asset tracking discrepancy,asset tracking show incorrect license count,asset tracking discrepancy asset tracking show incorrect license count,3,9,12
SWP-56,Subscription Billing Error,Recurring billing system charges incorrect amounts due to plan miscalculation.,Diana,Heidi,Bug,High,In Progress,Payment Processing,28-05-2025,31-05-2025,3,5,2,5,subscription billing error,recurring billing system charges incorrect amounts due to plan miscalculation,subscription billing error recurring billing system charges incorrect amounts due to plan miscalculation,subscription billing error,recur billing charge incorrect amount plan miscalculation,subscription billing error recur billing charge incorrect amount plan miscalculation,3,10,13
SWP-57,Project Portfolio Management,"Build project tracking with resource allocation, milestone tracking, and portfolio-level reporting.",Charlie,Judy,Epic,Medium,In Progress,Project Management,04-07-2025,11-07-2025,7,7,4,7,project portfolio management,build project tracking with resource allocation milestone tracking and portfoliolevel reporting,project portfolio management build project tracking with resource allocation milestone tracking and portfoliolevel reporting,portfolio,track resource allocation milestone track portfoliolevel reporting,portfolio track resource allocation milestone track portfoliolevel reporting,3,11,14
SWP-58,Compliance Monitoring,"Implement regulatory compliance tracking with audit preparation, violation detection, and remediation workflows.",Frank,Grace,Task,High,In Progress,Compliance,15-06-2025,30-06-2025,15,6,6,6,compliance monitoring,implement regulatory compliance tracking with audit preparation violation detection and remediation workflows,compliance monitoring implement regulatory compliance tracking with audit preparation violation detection and remediation workflows,compliance monitoring,regulatory compliance track audit preparation violation detection remediation,compliance monitoring regulatory compliance track audit preparation violation detection remediation,2,12,14
SWP-59,Vendor Management System,"Create supplier relationship management with contract tracking, performance evaluation, and procurement workflows.",Diana,Grace,Epic,Medium,Done,Vendor Management,08-07-2025,20-07-2025,12,7,1,7,vendor management system,create supplier relationship management with contract tracking performance evaluation and procurement workflows,vendor management system create supplier relationship management with contract tracking performance evaluation and procurement workflows,,supplier relationship contract track performance evaluation procurement, supplier relationship contract track performance evaluation procurement,3,12,15
SWP-60,Quality Assurance Platform,"Build testing management system with test case creation, execution tracking, and defect reporting.",Frank,Grace,Story,Medium,Done,Testing,18-05-2025,02-06-2025,15,5,6,6,quality assurance platform,build testing management system with test case creation execution tracking and defect reporting,quality assurance platform build testing management system with test case creation execution tracking and defect reporting,assurance,creation execution track reporting,assurance creation execution track reporting,3,13,16
SWP-61,Digital Signature Verification Failure,Electronic signatures fail verification due to certificate mismatch.,Diana,Judy,Bug,Medium,In Progress,Document Management,24-06-2025,08-07-2025,14,6,1,7,digital signature verification failure,electronic signatures fail verification due to certificate mismatch,digital signature verification failure electronic signatures fail verification due to certificate mismatch,digital signature failure,electronic signature fail certificate mismatch,digital signature failure electronic signature fail certificate mismatch,4,8,12
SWP-62,Expense Management System,"Create expense tracking with receipt scanning, approval workflows, and reimbursement processing.",Frank,Grace,Story,Medium,Done,Expense Management,05-06-2025,20-06-2025,15,6,3,6,expense management system,create expense tracking with receipt scanning approval workflows and reimbursement processing,expense management system create expense tracking with receipt scanning approval workflows and reimbursement processing,expense,expense track receipt scan reimbursement,expense expense track receipt scan reimbursement,3,11,14
SWP-63,Learning Management Course Access Issue,Online training platform denies access to enrolled users due to role misconfiguration.,Diana,Judy,Bug,Medium,Open,Learning Management,14-05-2025,18-05-2025,4,5,2,5,learning management course access issue,online training platform denies access to enrolled users due to role misconfiguration,learning management course access issue online training platform denies access to enrolled users due to role misconfiguration,learn course access,online training denies access enrol role misconfiguration,learn course access online training denies access enrol role misconfiguration,5,12,17
SWP-64,Risk Assessment Tool,"Develop risk management system with threat identification, impact analysis, and mitigation planning.",Frank,Ivan,Task,High,In Progress,Risk Management,06-06-2025,18-06-2025,12,6,4,6,risk assessment tool,develop risk management system with threat identification impact analysis and mitigation planning,risk assessment tool develop risk management system with threat identification impact analysis and mitigation planning,risk assessment,risk threat identification impact analysis mitigation planning,risk assessment risk threat identification impact analysis mitigation planning,3,12,15
