Issue Key,Summary,Description,Assignee,Reporter,Issue Type,Priority,Status,Component,Created,Due Date,Days to Complete,Created_Month,Created_Day_of_Week,Due_Month,summary_cleaned,description_cleaned,combined_text,summary_lemmatized,description_lemmatized,combined_lemmatized,summary_word_count,description_word_count,combined_word_count,summary_processed,summary_stemmed,summary_tokens,description_processed,description_stemmed,description_tokens
SWP-50,Feature Flag System,"Implement feature toggles with gradual rollout, A/B testing capabilities, and real-time feature management.",Bob,Judy,Task,Medium,Done,Feature Management,2025-06-14,2025-06-24,10,6,5,6,feature flag system,implement feature toggles with gradual rollout ab testing capabilities and realtime feature management,feature flag system implement feature toggles with gradual rollout ab testing capabilities and realtime feature management,feature flag system,implement feature toggle gradual rollout ab test capability realtime feature management,feature flag system implement feature toggle gradual rollout ab test capability realtime feature management,3,13,16,"{'cleaned_text': 'feature flag system', 'tokens': ['feature', 'flag', 'system'], 'filtered_tokens': ['feature', 'flag', 'system'], 'stemmed_tokens': ['featur', 'flag', 'system'], 'lemmatized_tokens': ['feature', 'flag', 'system'], 'processed_text_stem': 'featur flag system', 'processed_text_lemma': 'feature flag system'}",featur flag system,"['feature', 'flag', 'system']","{'cleaned_text': 'implement feature toggles with gradual rollout ab testing capabilities and realtime feature management', 'tokens': ['implement', 'feature', 'toggles', 'with', 'gradual', 'rollout', 'ab', 'testing', 'capabilities', 'and', 'realtime', 'feature', 'management'], 'filtered_tokens': ['implement', 'feature', 'toggles', 'gradual', 'rollout', 'ab', 'testing', 'capabilities', 'realtime', 'feature', 'management'], 'stemmed_tokens': ['implement', 'featur', 'toggl', 'gradual', 'rollout', 'ab', 'test', 'capabl', 'realtim', 'featur', 'manag'], 'lemmatized_tokens': ['implement', 'feature', 'toggle', 'gradual', 'rollout', 'ab', 'test', 'capability', 'realtime', 'feature', 'management'], 'processed_text_stem': 'implement featur toggl gradual rollout ab test capabl realtim featur manag', 'processed_text_lemma': 'implement feature toggle gradual rollout ab test capability realtime feature management'}",implement featur toggl gradual rollout ab test capabl realtim featur manag,"['implement', 'feature', 'toggles', 'with', 'gradual', 'rollout', 'ab', 'testing', 'capabilities', 'and', 'realtime', 'feature', 'management']"
SWP-51,CRM Contact Sync Failure,CRM system fails to sync contacts with external email platforms.,Alice,Ivan,Bug,High,In Progress,CRM,2025-06-17,2025-06-23,6,6,1,6,crm contact sync failure,crm system fails to sync contacts with external email platforms,crm contact sync failure crm system fails to sync contacts with external email platforms,crm contact sync failure,crm system fail sync contact external email platform,crm contact sync failure crm system fail sync contact external email platform,4,10,14,"{'cleaned_text': 'crm contact sync failure', 'tokens': ['crm', 'contact', 'sync', 'failure'], 'filtered_tokens': ['crm', 'contact', 'sync', 'failure'], 'stemmed_tokens': ['crm', 'contact', 'sync', 'failur'], 'lemmatized_tokens': ['crm', 'contact', 'sync', 'failure'], 'processed_text_stem': 'crm contact sync failur', 'processed_text_lemma': 'crm contact sync failure'}",crm contact sync failur,"['crm', 'contact', 'sync', 'failure']","{'cleaned_text': 'crm system fails to sync contacts with external email platforms', 'tokens': ['crm', 'system', 'fails', 'to', 'sync', 'contacts', 'with', 'external', 'email', 'platforms'], 'filtered_tokens': ['crm', 'system', 'fails', 'sync', 'contacts', 'external', 'email', 'platforms'], 'stemmed_tokens': ['crm', 'system', 'fail', 'sync', 'contact', 'extern', 'email', 'platform'], 'lemmatized_tokens': ['crm', 'system', 'fail', 'sync', 'contact', 'external', 'email', 'platform'], 'processed_text_stem': 'crm system fail sync contact extern email platform', 'processed_text_lemma': 'crm system fail sync contact external email platform'}",crm system fail sync contact extern email platform,"['crm', 'system', 'fails', 'to', 'sync', 'contacts', 'with', 'external', 'email', 'platforms']"
SWP-52,Time Tracking Application,"Develop time tracking tool with project allocation, timesheet management, and productivity analytics.",Bob,Heidi,Story,Medium,Done,Time Tracking,2025-06-23,2025-06-27,4,6,0,6,time tracking application,develop time tracking tool with project allocation timesheet management and productivity analytics,time tracking application develop time tracking tool with project allocation timesheet management and productivity analytics,time track application,develop time track tool project allocation timesheet management productivity analytics,time track application develop time track tool project allocation timesheet management productivity analytics,3,12,15,"{'cleaned_text': 'time tracking application', 'tokens': ['time', 'tracking', 'application'], 'filtered_tokens': ['time', 'tracking', 'application'], 'stemmed_tokens': ['time', 'track', 'applic'], 'lemmatized_tokens': ['time', 'track', 'application'], 'processed_text_stem': 'time track applic', 'processed_text_lemma': 'time track application'}",time track applic,"['time', 'tracking', 'application']","{'cleaned_text': 'develop time tracking tool with project allocation timesheet management and productivity analytics', 'tokens': ['develop', 'time', 'tracking', 'tool', 'with', 'project', 'allocation', 'timesheet', 'management', 'and', 'productivity', 'analytics'], 'filtered_tokens': ['develop', 'time', 'tracking', 'tool', 'project', 'allocation', 'timesheet', 'management', 'productivity', 'analytics'], 'stemmed_tokens': ['develop', 'time', 'track', 'tool', 'project', 'alloc', 'timesheet', 'manag', 'product', 'analyt'], 'lemmatized_tokens': ['develop', 'time', 'track', 'tool', 'project', 'allocation', 'timesheet', 'management', 'productivity', 'analytics'], 'processed_text_stem': 'develop time track tool project alloc timesheet manag product analyt', 'processed_text_lemma': 'develop time track tool project allocation timesheet management productivity analytics'}",develop time track tool project alloc timesheet manag product analyt,"['develop', 'time', 'tracking', 'tool', 'with', 'project', 'allocation', 'timesheet', 'management', 'and', 'productivity', 'analytics']"
SWP-53,Knowledge Base System,"Create searchable knowledge base with article management, categorization, and user contribution features.",Eve,Grace,Story,Low,Open,Knowledge Base,2025-05-26,2025-10-06,133,5,0,10,knowledge base system,create searchable knowledge base with article management categorization and user contribution features,knowledge base system create searchable knowledge base with article management categorization and user contribution features,knowledge base system,create searchable knowledge base article management categorization user contribution feature,knowledge base system create searchable knowledge base article management categorization user contribution feature,3,12,15,"{'cleaned_text': 'knowledge base system', 'tokens': ['knowledge', 'base', 'system'], 'filtered_tokens': ['knowledge', 'base', 'system'], 'stemmed_tokens': ['knowledg', 'base', 'system'], 'lemmatized_tokens': ['knowledge', 'base', 'system'], 'processed_text_stem': 'knowledg base system', 'processed_text_lemma': 'knowledge base system'}",knowledg base system,"['knowledge', 'base', 'system']","{'cleaned_text': 'create searchable knowledge base with article management categorization and user contribution features', 'tokens': ['create', 'searchable', 'knowledge', 'base', 'with', 'article', 'management', 'categorization', 'and', 'user', 'contribution', 'features'], 'filtered_tokens': ['create', 'searchable', 'knowledge', 'base', 'article', 'management', 'categorization', 'user', 'contribution', 'features'], 'stemmed_tokens': ['creat', 'searchabl', 'knowledg', 'base', 'articl', 'manag', 'categor', 'user', 'contribut', 'featur'], 'lemmatized_tokens': ['create', 'searchable', 'knowledge', 'base', 'article', 'management', 'categorization', 'user', 'contribution', 'feature'], 'processed_text_stem': 'creat searchabl knowledg base articl manag categor user contribut featur', 'processed_text_lemma': 'create searchable knowledge base article management categorization user contribution feature'}",creat searchabl knowledg base articl manag categor user contribut featur,"['create', 'searchable', 'knowledge', 'base', 'with', 'article', 'management', 'categorization', 'and', 'user', 'contribution', 'features']"
SWP-54,Bug Tracking System,"Build issue tracking platform with bug reporting, assignment workflows, and resolution tracking capabilities.",Diana,Heidi,Story,Medium,Done,Testing,2025-05-13,2025-05-23,10,5,1,5,bug tracking system,build issue tracking platform with bug reporting assignment workflows and resolution tracking capabilities,bug tracking system build issue tracking platform with bug reporting assignment workflows and resolution tracking capabilities,bug track system,build issue track platform bug report assignment workflow resolution track capability,bug track system build issue track platform bug report assignment workflow resolution track capability,3,13,16,"{'cleaned_text': 'bug tracking system', 'tokens': ['bug', 'tracking', 'system'], 'filtered_tokens': ['bug', 'tracking', 'system'], 'stemmed_tokens': ['bug', 'track', 'system'], 'lemmatized_tokens': ['bug', 'track', 'system'], 'processed_text_stem': 'bug track system', 'processed_text_lemma': 'bug track system'}",bug track system,"['bug', 'tracking', 'system']","{'cleaned_text': 'build issue tracking platform with bug reporting assignment workflows and resolution tracking capabilities', 'tokens': ['build', 'issue', 'tracking', 'platform', 'with', 'bug', 'reporting', 'assignment', 'workflows', 'and', 'resolution', 'tracking', 'capabilities'], 'filtered_tokens': ['build', 'issue', 'tracking', 'platform', 'bug', 'reporting', 'assignment', 'workflows', 'resolution', 'tracking', 'capabilities'], 'stemmed_tokens': ['build', 'issu', 'track', 'platform', 'bug', 'report', 'assign', 'workflow', 'resolut', 'track', 'capabl'], 'lemmatized_tokens': ['build', 'issue', 'track', 'platform', 'bug', 'report', 'assignment', 'workflow', 'resolution', 'track', 'capability'], 'processed_text_stem': 'build issu track platform bug report assign workflow resolut track capabl', 'processed_text_lemma': 'build issue track platform bug report assignment workflow resolution track capability'}",build issu track platform bug report assign workflow resolut track capabl,"['build', 'issue', 'tracking', 'platform', 'with', 'bug', 'reporting', 'assignment', 'workflows', 'and', 'resolution', 'tracking', 'capabilities']"
SWP-55,Asset Tracking Discrepancy,IT asset tracking system shows incorrect software license counts.,Diana,Heidi,Bug,Medium,Open,Asset Management,2025-07-07,2025-07-17,10,7,0,7,asset tracking discrepancy,it asset tracking system shows incorrect software license counts,asset tracking discrepancy it asset tracking system shows incorrect software license counts,asset tracking discrepancy,asset tracking system show incorrect software license count,asset tracking discrepancy asset tracking system show incorrect software license count,3,9,12,"{'cleaned_text': 'asset tracking discrepancy', 'tokens': ['asset', 'tracking', 'discrepancy'], 'filtered_tokens': ['asset', 'tracking', 'discrepancy'], 'stemmed_tokens': ['asset', 'track', 'discrep'], 'lemmatized_tokens': ['asset', 'tracking', 'discrepancy'], 'processed_text_stem': 'asset track discrep', 'processed_text_lemma': 'asset tracking discrepancy'}",asset track discrep,"['asset', 'tracking', 'discrepancy']","{'cleaned_text': 'it asset tracking system shows incorrect software license counts', 'tokens': ['it', 'asset', 'tracking', 'system', 'shows', 'incorrect', 'software', 'license', 'counts'], 'filtered_tokens': ['asset', 'tracking', 'system', 'shows', 'incorrect', 'software', 'license', 'counts'], 'stemmed_tokens': ['asset', 'track', 'system', 'show', 'incorrect', 'softwar', 'licens', 'count'], 'lemmatized_tokens': ['asset', 'tracking', 'system', 'show', 'incorrect', 'software', 'license', 'count'], 'processed_text_stem': 'asset track system show incorrect softwar licens count', 'processed_text_lemma': 'asset tracking system show incorrect software license count'}",asset track system show incorrect softwar licens count,"['it', 'asset', 'tracking', 'system', 'shows', 'incorrect', 'software', 'license', 'counts']"
SWP-56,Subscription Billing Error,Recurring billing system charges incorrect amounts due to plan miscalculation.,Diana,Heidi,Bug,High,In Progress,Payment Processing,2025-05-28,2025-05-31,3,5,2,5,subscription billing error,recurring billing system charges incorrect amounts due to plan miscalculation,subscription billing error recurring billing system charges incorrect amounts due to plan miscalculation,subscription billing error,recur billing system charge incorrect amount due plan miscalculation,subscription billing error recur billing system charge incorrect amount due plan miscalculation,3,10,13,"{'cleaned_text': 'subscription billing error', 'tokens': ['subscription', 'billing', 'error'], 'filtered_tokens': ['subscription', 'billing', 'error'], 'stemmed_tokens': ['subscript', 'bill', 'error'], 'lemmatized_tokens': ['subscription', 'billing', 'error'], 'processed_text_stem': 'subscript bill error', 'processed_text_lemma': 'subscription billing error'}",subscript bill error,"['subscription', 'billing', 'error']","{'cleaned_text': 'recurring billing system charges incorrect amounts due to plan miscalculation', 'tokens': ['recurring', 'billing', 'system', 'charges', 'incorrect', 'amounts', 'due', 'to', 'plan', 'miscalculation'], 'filtered_tokens': ['recurring', 'billing', 'system', 'charges', 'incorrect', 'amounts', 'due', 'plan', 'miscalculation'], 'stemmed_tokens': ['recur', 'bill', 'system', 'charg', 'incorrect', 'amount', 'due', 'plan', 'miscalcul'], 'lemmatized_tokens': ['recur', 'billing', 'system', 'charge', 'incorrect', 'amount', 'due', 'plan', 'miscalculation'], 'processed_text_stem': 'recur bill system charg incorrect amount due plan miscalcul', 'processed_text_lemma': 'recur billing system charge incorrect amount due plan miscalculation'}",recur bill system charg incorrect amount due plan miscalcul,"['recurring', 'billing', 'system', 'charges', 'incorrect', 'amounts', 'due', 'to', 'plan', 'miscalculation']"
SWP-57,Project Portfolio Management,"Build project tracking with resource allocation, milestone tracking, and portfolio-level reporting.",Charlie,Judy,Epic,Medium,In Progress,Project Management,2025-04-07,2025-11-07,214,4,0,11,project portfolio management,build project tracking with resource allocation milestone tracking and portfoliolevel reporting,project portfolio management build project tracking with resource allocation milestone tracking and portfoliolevel reporting,project portfolio management,build project track resource allocation milestone track portfoliolevel reporting,project portfolio management build project track resource allocation milestone track portfoliolevel reporting,3,11,14,"{'cleaned_text': 'project portfolio management', 'tokens': ['project', 'portfolio', 'management'], 'filtered_tokens': ['project', 'portfolio', 'management'], 'stemmed_tokens': ['project', 'portfolio', 'manag'], 'lemmatized_tokens': ['project', 'portfolio', 'management'], 'processed_text_stem': 'project portfolio manag', 'processed_text_lemma': 'project portfolio management'}",project portfolio manag,"['project', 'portfolio', 'management']","{'cleaned_text': 'build project tracking with resource allocation milestone tracking and portfoliolevel reporting', 'tokens': ['build', 'project', 'tracking', 'with', 'resource', 'allocation', 'milestone', 'tracking', 'and', 'portfoliolevel', 'reporting'], 'filtered_tokens': ['build', 'project', 'tracking', 'resource', 'allocation', 'milestone', 'tracking', 'portfoliolevel', 'reporting'], 'stemmed_tokens': ['build', 'project', 'track', 'resourc', 'alloc', 'mileston', 'track', 'portfoliolevel', 'report'], 'lemmatized_tokens': ['build', 'project', 'track', 'resource', 'allocation', 'milestone', 'track', 'portfoliolevel', 'reporting'], 'processed_text_stem': 'build project track resourc alloc mileston track portfoliolevel report', 'processed_text_lemma': 'build project track resource allocation milestone track portfoliolevel reporting'}",build project track resourc alloc mileston track portfoliolevel report,"['build', 'project', 'tracking', 'with', 'resource', 'allocation', 'milestone', 'tracking', 'and', 'portfoliolevel', 'reporting']"
SWP-58,Compliance Monitoring,"Implement regulatory compliance tracking with audit preparation, violation detection, and remediation workflows.",Frank,Grace,Task,High,In Progress,Compliance,2025-06-15,2025-06-30,15,6,6,6,compliance monitoring,implement regulatory compliance tracking with audit preparation violation detection and remediation workflows,compliance monitoring implement regulatory compliance tracking with audit preparation violation detection and remediation workflows,compliance monitoring,implement regulatory compliance track audit preparation violation detection remediation workflow,compliance monitoring implement regulatory compliance track audit preparation violation detection remediation workflow,2,12,14,"{'cleaned_text': 'compliance monitoring', 'tokens': ['compliance', 'monitoring'], 'filtered_tokens': ['compliance', 'monitoring'], 'stemmed_tokens': ['complianc', 'monitor'], 'lemmatized_tokens': ['compliance', 'monitoring'], 'processed_text_stem': 'complianc monitor', 'processed_text_lemma': 'compliance monitoring'}",complianc monitor,"['compliance', 'monitoring']","{'cleaned_text': 'implement regulatory compliance tracking with audit preparation violation detection and remediation workflows', 'tokens': ['implement', 'regulatory', 'compliance', 'tracking', 'with', 'audit', 'preparation', 'violation', 'detection', 'and', 'remediation', 'workflows'], 'filtered_tokens': ['implement', 'regulatory', 'compliance', 'tracking', 'audit', 'preparation', 'violation', 'detection', 'remediation', 'workflows'], 'stemmed_tokens': ['implement', 'regulatori', 'complianc', 'track', 'audit', 'prepar', 'violat', 'detect', 'remedi', 'workflow'], 'lemmatized_tokens': ['implement', 'regulatory', 'compliance', 'track', 'audit', 'preparation', 'violation', 'detection', 'remediation', 'workflow'], 'processed_text_stem': 'implement regulatori complianc track audit prepar violat detect remedi workflow', 'processed_text_lemma': 'implement regulatory compliance track audit preparation violation detection remediation workflow'}",implement regulatori complianc track audit prepar violat detect remedi workflow,"['implement', 'regulatory', 'compliance', 'tracking', 'with', 'audit', 'preparation', 'violation', 'detection', 'and', 'remediation', 'workflows']"
SWP-59,Vendor Management System,"Create supplier relationship management with contract tracking, performance evaluation, and procurement workflows.",Diana,Grace,Epic,Medium,Done,Vendor Management,2025-08-07,2025-07-20,-18,8,3,7,vendor management system,create supplier relationship management with contract tracking performance evaluation and procurement workflows,vendor management system create supplier relationship management with contract tracking performance evaluation and procurement workflows,vendor management system,create supplier relationship management contract track performance evaluation procurement workflow,vendor management system create supplier relationship management contract track performance evaluation procurement workflow,3,12,15,"{'cleaned_text': 'vendor management system', 'tokens': ['vendor', 'management', 'system'], 'filtered_tokens': ['vendor', 'management', 'system'], 'stemmed_tokens': ['vendor', 'manag', 'system'], 'lemmatized_tokens': ['vendor', 'management', 'system'], 'processed_text_stem': 'vendor manag system', 'processed_text_lemma': 'vendor management system'}",vendor manag system,"['vendor', 'management', 'system']","{'cleaned_text': 'create supplier relationship management with contract tracking performance evaluation and procurement workflows', 'tokens': ['create', 'supplier', 'relationship', 'management', 'with', 'contract', 'tracking', 'performance', 'evaluation', 'and', 'procurement', 'workflows'], 'filtered_tokens': ['create', 'supplier', 'relationship', 'management', 'contract', 'tracking', 'performance', 'evaluation', 'procurement', 'workflows'], 'stemmed_tokens': ['creat', 'supplier', 'relationship', 'manag', 'contract', 'track', 'perform', 'evalu', 'procur', 'workflow'], 'lemmatized_tokens': ['create', 'supplier', 'relationship', 'management', 'contract', 'track', 'performance', 'evaluation', 'procurement', 'workflow'], 'processed_text_stem': 'creat supplier relationship manag contract track perform evalu procur workflow', 'processed_text_lemma': 'create supplier relationship management contract track performance evaluation procurement workflow'}",creat supplier relationship manag contract track perform evalu procur workflow,"['create', 'supplier', 'relationship', 'management', 'with', 'contract', 'tracking', 'performance', 'evaluation', 'and', 'procurement', 'workflows']"
SWP-60,Quality Assurance Platform,"Build testing management system with test case creation, execution tracking, and defect reporting.",Frank,Grace,Story,Medium,Done,Testing,2025-05-18,2025-02-06,-101,5,6,2,quality assurance platform,build testing management system with test case creation execution tracking and defect reporting,quality assurance platform build testing management system with test case creation execution tracking and defect reporting,quality assurance platform,build test management system test case creation execution track defect reporting,quality assurance platform build test management system test case creation execution track defect reporting,3,13,16,"{'cleaned_text': 'quality assurance platform', 'tokens': ['quality', 'assurance', 'platform'], 'filtered_tokens': ['quality', 'assurance', 'platform'], 'stemmed_tokens': ['qualiti', 'assur', 'platform'], 'lemmatized_tokens': ['quality', 'assurance', 'platform'], 'processed_text_stem': 'qualiti assur platform', 'processed_text_lemma': 'quality assurance platform'}",qualiti assur platform,"['quality', 'assurance', 'platform']","{'cleaned_text': 'build testing management system with test case creation execution tracking and defect reporting', 'tokens': ['build', 'testing', 'management', 'system', 'with', 'test', 'case', 'creation', 'execution', 'tracking', 'and', 'defect', 'reporting'], 'filtered_tokens': ['build', 'testing', 'management', 'system', 'test', 'case', 'creation', 'execution', 'tracking', 'defect', 'reporting'], 'stemmed_tokens': ['build', 'test', 'manag', 'system', 'test', 'case', 'creation', 'execut', 'track', 'defect', 'report'], 'lemmatized_tokens': ['build', 'test', 'management', 'system', 'test', 'case', 'creation', 'execution', 'track', 'defect', 'reporting'], 'processed_text_stem': 'build test manag system test case creation execut track defect report', 'processed_text_lemma': 'build test management system test case creation execution track defect reporting'}",build test manag system test case creation execut track defect report,"['build', 'testing', 'management', 'system', 'with', 'test', 'case', 'creation', 'execution', 'tracking', 'and', 'defect', 'reporting']"
SWP-61,Digital Signature Verification Failure,Electronic signatures fail verification due to certificate mismatch.,Diana,Judy,Bug,Medium,In Progress,Document Management,2025-06-24,2025-08-07,44,6,1,8,digital signature verification failure,electronic signatures fail verification due to certificate mismatch,digital signature verification failure electronic signatures fail verification due to certificate mismatch,digital signature verification failure,electronic signature fail verification due certificate mismatch,digital signature verification failure electronic signature fail verification due certificate mismatch,4,8,12,"{'cleaned_text': 'digital signature verification failure', 'tokens': ['digital', 'signature', 'verification', 'failure'], 'filtered_tokens': ['digital', 'signature', 'verification', 'failure'], 'stemmed_tokens': ['digit', 'signatur', 'verif', 'failur'], 'lemmatized_tokens': ['digital', 'signature', 'verification', 'failure'], 'processed_text_stem': 'digit signatur verif failur', 'processed_text_lemma': 'digital signature verification failure'}",digit signatur verif failur,"['digital', 'signature', 'verification', 'failure']","{'cleaned_text': 'electronic signatures fail verification due to certificate mismatch', 'tokens': ['electronic', 'signatures', 'fail', 'verification', 'due', 'to', 'certificate', 'mismatch'], 'filtered_tokens': ['electronic', 'signatures', 'fail', 'verification', 'due', 'certificate', 'mismatch'], 'stemmed_tokens': ['electron', 'signatur', 'fail', 'verif', 'due', 'certif', 'mismatch'], 'lemmatized_tokens': ['electronic', 'signature', 'fail', 'verification', 'due', 'certificate', 'mismatch'], 'processed_text_stem': 'electron signatur fail verif due certif mismatch', 'processed_text_lemma': 'electronic signature fail verification due certificate mismatch'}",electron signatur fail verif due certif mismatch,"['electronic', 'signatures', 'fail', 'verification', 'due', 'to', 'certificate', 'mismatch']"
SWP-62,Expense Management System,"Create expense tracking with receipt scanning, approval workflows, and reimbursement processing.",Frank,Grace,Story,Medium,Done,Expense Management,2025-05-06,2025-06-20,45,5,1,6,expense management system,create expense tracking with receipt scanning approval workflows and reimbursement processing,expense management system create expense tracking with receipt scanning approval workflows and reimbursement processing,expense management system,create expense track receipt scan approval workflow reimbursement processing,expense management system create expense track receipt scan approval workflow reimbursement processing,3,11,14,"{'cleaned_text': 'expense management system', 'tokens': ['expense', 'management', 'system'], 'filtered_tokens': ['expense', 'management', 'system'], 'stemmed_tokens': ['expens', 'manag', 'system'], 'lemmatized_tokens': ['expense', 'management', 'system'], 'processed_text_stem': 'expens manag system', 'processed_text_lemma': 'expense management system'}",expens manag system,"['expense', 'management', 'system']","{'cleaned_text': 'create expense tracking with receipt scanning approval workflows and reimbursement processing', 'tokens': ['create', 'expense', 'tracking', 'with', 'receipt', 'scanning', 'approval', 'workflows', 'and', 'reimbursement', 'processing'], 'filtered_tokens': ['create', 'expense', 'tracking', 'receipt', 'scanning', 'approval', 'workflows', 'reimbursement', 'processing'], 'stemmed_tokens': ['creat', 'expens', 'track', 'receipt', 'scan', 'approv', 'workflow', 'reimburs', 'process'], 'lemmatized_tokens': ['create', 'expense', 'track', 'receipt', 'scan', 'approval', 'workflow', 'reimbursement', 'processing'], 'processed_text_stem': 'creat expens track receipt scan approv workflow reimburs process', 'processed_text_lemma': 'create expense track receipt scan approval workflow reimbursement processing'}",creat expens track receipt scan approv workflow reimburs process,"['create', 'expense', 'tracking', 'with', 'receipt', 'scanning', 'approval', 'workflows', 'and', 'reimbursement', 'processing']"
SWP-63,Learning Management Course Access Issue,Online training platform denies access to enrolled users due to role misconfiguration.,Diana,Judy,Bug,Medium,Open,Learning Management,2025-05-14,2025-05-18,4,5,2,5,learning management course access issue,online training platform denies access to enrolled users due to role misconfiguration,learning management course access issue online training platform denies access to enrolled users due to role misconfiguration,learn management course access issue,online training platform deny access enrol user due role misconfiguration,learn management course access issue online training platform deny access enrol user due role misconfiguration,5,12,17,"{'cleaned_text': 'learning management course access issue', 'tokens': ['learning', 'management', 'course', 'access', 'issue'], 'filtered_tokens': ['learning', 'management', 'course', 'access', 'issue'], 'stemmed_tokens': ['learn', 'manag', 'cours', 'access', 'issu'], 'lemmatized_tokens': ['learn', 'management', 'course', 'access', 'issue'], 'processed_text_stem': 'learn manag cours access issu', 'processed_text_lemma': 'learn management course access issue'}",learn manag cours access issu,"['learning', 'management', 'course', 'access', 'issue']","{'cleaned_text': 'online training platform denies access to enrolled users due to role misconfiguration', 'tokens': ['online', 'training', 'platform', 'denies', 'access', 'to', 'enrolled', 'users', 'due', 'to', 'role', 'misconfiguration'], 'filtered_tokens': ['online', 'training', 'platform', 'denies', 'access', 'enrolled', 'users', 'due', 'role', 'misconfiguration'], 'stemmed_tokens': ['onlin', 'train', 'platform', 'deni', 'access', 'enrol', 'user', 'due', 'role', 'misconfigur'], 'lemmatized_tokens': ['online', 'training', 'platform', 'deny', 'access', 'enrol', 'user', 'due', 'role', 'misconfiguration'], 'processed_text_stem': 'onlin train platform deni access enrol user due role misconfigur', 'processed_text_lemma': 'online training platform deny access enrol user due role misconfiguration'}",onlin train platform deni access enrol user due role misconfigur,"['online', 'training', 'platform', 'denies', 'access', 'to', 'enrolled', 'users', 'due', 'to', 'role', 'misconfiguration']"
SWP-64,Risk Assessment Tool,"Develop risk management system with threat identification, impact analysis, and mitigation planning.",Frank,Ivan,Task,High,In Progress,Risk Management,2025-06-06,2025-06-18,12,6,4,6,risk assessment tool,develop risk management system with threat identification impact analysis and mitigation planning,risk assessment tool develop risk management system with threat identification impact analysis and mitigation planning,risk assessment tool,develop risk management system threat identification impact analysis mitigation planning,risk assessment tool develop risk management system threat identification impact analysis mitigation planning,3,12,15,"{'cleaned_text': 'risk assessment tool', 'tokens': ['risk', 'assessment', 'tool'], 'filtered_tokens': ['risk', 'assessment', 'tool'], 'stemmed_tokens': ['risk', 'assess', 'tool'], 'lemmatized_tokens': ['risk', 'assessment', 'tool'], 'processed_text_stem': 'risk assess tool', 'processed_text_lemma': 'risk assessment tool'}",risk assess tool,"['risk', 'assessment', 'tool']","{'cleaned_text': 'develop risk management system with threat identification impact analysis and mitigation planning', 'tokens': ['develop', 'risk', 'management', 'system', 'with', 'threat', 'identification', 'impact', 'analysis', 'and', 'mitigation', 'planning'], 'filtered_tokens': ['develop', 'risk', 'management', 'system', 'threat', 'identification', 'impact', 'analysis', 'mitigation', 'planning'], 'stemmed_tokens': ['develop', 'risk', 'manag', 'system', 'threat', 'identif', 'impact', 'analysi', 'mitig', 'plan'], 'lemmatized_tokens': ['develop', 'risk', 'management', 'system', 'threat', 'identification', 'impact', 'analysis', 'mitigation', 'planning'], 'processed_text_stem': 'develop risk manag system threat identif impact analysi mitig plan', 'processed_text_lemma': 'develop risk management system threat identification impact analysis mitigation planning'}",develop risk manag system threat identif impact analysi mitig plan,"['develop', 'risk', 'management', 'system', 'with', 'threat', 'identification', 'impact', 'analysis', 'and', 'mitigation', 'planning']"
SWP-65,Survey Platform,"Create survey creation and distribution system with response collection, analysis, and reporting capabilities.",Diana,Heidi,Story,Medium,Done,Feedback,2025-10-06,2025-06-25,-103,10,0,6,survey platform,create survey creation and distribution system with response collection analysis and reporting capabilities,survey platform create survey creation and distribution system with response collection analysis and reporting capabilities,survey platform,create survey creation distribution system response collection analysis reporting capability,survey platform create survey creation distribution system response collection analysis reporting capability,2,13,15,"{'cleaned_text': 'survey platform', 'tokens': ['survey', 'platform'], 'filtered_tokens': ['survey', 'platform'], 'stemmed_tokens': ['survey', 'platform'], 'lemmatized_tokens': ['survey', 'platform'], 'processed_text_stem': 'survey platform', 'processed_text_lemma': 'survey platform'}",survey platform,"['survey', 'platform']","{'cleaned_text': 'create survey creation and distribution system with response collection analysis and reporting capabilities', 'tokens': ['create', 'survey', 'creation', 'and', 'distribution', 'system', 'with', 'response', 'collection', 'analysis', 'and', 'reporting', 'capabilities'], 'filtered_tokens': ['create', 'survey', 'creation', 'distribution', 'system', 'response', 'collection', 'analysis', 'reporting', 'capabilities'], 'stemmed_tokens': ['creat', 'survey', 'creation', 'distribut', 'system', 'respons', 'collect', 'analysi', 'report', 'capabl'], 'lemmatized_tokens': ['create', 'survey', 'creation', 'distribution', 'system', 'response', 'collection', 'analysis', 'reporting', 'capability'], 'processed_text_stem': 'creat survey creation distribut system respons collect analysi report capabl', 'processed_text_lemma': 'create survey creation distribution system response collection analysis reporting capability'}",creat survey creation distribut system respons collect analysi report capabl,"['create', 'survey', 'creation', 'and', 'distribution', 'system', 'with', 'response', 'collection', 'analysis', 'and', 'reporting', 'capabilities']"
